iShares Core S&P 500 ETF
Inception Date,"May 15, 2000"
Fund Holdings as of,"Aug 31, 2017"
Total Net Assets,"124,393,508,123.36"
Shares Outstanding,"499,300,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"PX","PRAXAIR INC","Equity","0.18","131.54","1,675,908.00","220,448,938.32","220,448,938.32","Materials","2699291","US74005P1049","New York Stock Exchange Inc."
"BBT","BB AND T CORP","Equity","0.18","46.09","4,755,961.00","219,202,242.49","219,202,242.49","Financials","2830904","US0549371070","New York Stock Exchange Inc."
"ESRX","EXPRESS SCRIPTS HOLDING","Equity","0.18","62.82","3,479,317.00","218,570,693.94","218,570,693.94","Health Care","B7QQYV9","US30219G1085","NASDAQ"
"JCI","JOHNSON CONTROLS INTERNATIONAL PLC","Equity","0.18","39.59","5,517,669.00","218,444,515.71","218,444,515.71","Industrials","BY7QL61","IE00BY7QL619","New York Stock Exchange Inc."
"HUM","HUMANA INC","Equity","0.18","257.62","845,937.00","217,930,289.94","217,930,289.94","Health Care","2445063","US4448591028","New York Stock Exchange Inc."
"KMI","KINDER MORGAN INC","Equity","0.17","19.33","11,270,844.00","217,865,414.52","217,865,414.52","Energy","B3NQ4P8","US49456B1017","New York Stock Exchange Inc."
"ISRG","INTUITIVE SURGICAL INC","Equity","0.17","1,004.67","215,687.00","216,694,258.29","216,694,258.29","Health Care","2871301","US46120E6023","NASDAQ"
"PSX","PHILLIPS","Equity","0.17","83.81","2,580,366.00","216,260,474.46","216,260,474.46","Energy","B78C4Y8","US7185461040","New York Stock Exchange Inc."
"AON","AON PLC CLASS A","Equity","0.17","139.16","1,540,979.00","214,442,637.64","214,442,637.64","Financials","B5BT0K0","GB00B5BT0K07","New York Stock Exchange Inc."
"EQIX","EQUINIX REIT INC","Equity","0.17","468.41","456,718.00","213,931,278.38","213,931,278.38","Real Estate","BVLZX12","US29444U7000","NASDAQ"
